var VARnumber 1 1 1 3 
c IDnumber 1 1 5 5 
, COMMAnumber 1 1 6 6 
d IDnumber 1 1 8 8 
, COMMAnumber 1 1 9 9 
e IDnumber 1 1 11 11 
; SEMInumber 1 1 12 12 
if IFnumber 2 2 1 2 
n IDnumber 2 2 4 4 
<= LEQnumber 2 2 6 7 
1 ICONSTnumber 2 2 9 9 
then THENnumber 2 2 11 14 
fibResult IDnumber 3 3 17 25 
:= COLEQnumber 3 3 27 28 
n IDnumber 3 3 30 30 
else ELSEnumber 4 4 13 16 
begin BEGINnumber 5 5 13 17 
i IDnumber 6 6 17 17 
:= COLEQnumber 6 6 19 20 
2 ICONSTnumber 6 6 22 22 
while WHILEnumber 7 7 17 21 
i IDnumber 7 7 23 23 
<= LEQnumber 7 7 25 26 
n IDnumber 7 7 28 28 
do IDnumber 7 7 30 31 
begin BEGINnumber 8 8 17 21 
write IDnumber 9 9 21 25 
a IDnumber 9 9 27 27 
; SEMInumber 9 9 28 28 
tmp IDnumber 10 10 21 23 
:= COLEQnumber 10 10 25 26 
a IDnumber 10 10 28 28 
+ PLUSnumber 10 10 30 30 
b IDnumber 10 10 32 32 
; SEMInumber 10 10 33 33 
a IDnumber 11 11 21 21 
:= COLEQnumber 11 11 23 24 
b IDnumber 11 11 26 26 
; SEMInumber 11 11 27 27 
b IDnumber 12 12 21 21 
:= COLEQnumber 12 12 23 24 
tmp IDnumber 12 12 26 28 
; SEMInumber 12 12 29 29 
i IDnumber 13 13 21 21 
:= COLEQnumber 13 13 23 24 
i IDnumber 13 13 26 26 
+ PLUSnumber 13 13 28 28 
1 ICONSTnumber 13 13 30 30 
end ENDnumber 14 14 17 19 
; SEMInumber 14 14 20 20 
fibResult IDnumber 16 16 17 25 
:= COLEQnumber 16 16 27 28 
a IDnumber 16 16 30 30 
end ENDnumber 17 17 13 15 
